gene_id,gene_name,description
ENSMUSG00000039193,Nlrc4,"NLR family, CARD domain containing 4 [Source:MGI Symbol;Acc:MGI:3036243]"
ENSMUSG00000039194,Rlbp1,retinaldehyde binding protein 1 [Source:MGI Symbol;Acc:MGI:97930]
ENSMUSG00000039195,Bbln,bublin coiled coil protein [Source:MGI Symbol;Acc:MGI:1920987]
ENSMUSG00000039196,Orm1,orosomucoid 1 [Source:MGI Symbol;Acc:MGI:97443]
ENSMUSG00000039197,Adk,adenosine kinase [Source:MGI Symbol;Acc:MGI:87930]
ENSMUSG00000039198,Ptchd3,patched domain containing 3 [Source:MGI Symbol;Acc:MGI:1921925]
ENSMUSG00000039199,Zdhhc1,"zinc finger, DHHC domain containing 1 [Source:MGI Symbol;Acc:MGI:1918046]"
ENSMUSG00000039200,Atf7ip2,activating transcription factor 7 interacting protein 2 [Source:MGI Symbol;Acc:MGI:1922579]
ENSMUSG00000039201,Tbc1d25,"TBC1 domain family, member 25 [Source:MGI Symbol;Acc:MGI:2444862]"
ENSMUSG00000039202,Abhd2,abhydrolase domain containing 2 [Source:MGI Symbol;Acc:MGI:1914344]
ENSMUSG00000039205,Ciz1,CDKN1A interacting zinc finger protein 1 [Source:MGI Symbol;Acc:MGI:1920234]
ENSMUSG00000039206,Daglb,"diacylglycerol lipase, beta [Source:MGI Symbol;Acc:MGI:2442032]"
ENSMUSG00000039208,Metrnl,"meteorin, glial cell differentiation regulator-like [Source:MGI Symbol;Acc:MGI:2384806]"
ENSMUSG00000039209,Rpl39l,ribosomal protein L39-like [Source:MGI Symbol;Acc:MGI:1915422]
ENSMUSG00000039210,Gpatch2,G patch domain containing 2 [Source:MGI Symbol;Acc:MGI:1915019]
ENSMUSG00000039217,Il18,interleukin 18 [Source:MGI Symbol;Acc:MGI:107936]
ENSMUSG00000039218,Srrm2,serine/arginine repetitive matrix 2 [Source:MGI Symbol;Acc:MGI:1923206]
ENSMUSG00000039219,Arid4b,AT rich interactive domain 4B (RBP1-like) [Source:MGI Symbol;Acc:MGI:2137512]
ENSMUSG00000039220,Ppp1r10,"protein phosphatase 1, regulatory subunit 10 [Source:MGI Symbol;Acc:MGI:1289273]"
ENSMUSG00000039221,Rpl22l1,ribosomal protein L22 like 1 [Source:MGI Symbol;Acc:MGI:1915278]
ENSMUSG00000039224,D1Pas1,"DNA segment, Chr 1, Pasteur Institute 1 [Source:MGI Symbol;Acc:MGI:91842]"
ENSMUSG00000039230,Tbcd,tubulin-specific chaperone d [Source:MGI Symbol;Acc:MGI:1919686]
ENSMUSG00000039231,Suv39h1,suppressor of variegation 3-9 1 [Source:MGI Symbol;Acc:MGI:1099440]
ENSMUSG00000039232,Stx11,syntaxin 11 [Source:MGI Symbol;Acc:MGI:1921982]
ENSMUSG00000039233,Tbce,tubulin-specific chaperone E [Source:MGI Symbol;Acc:MGI:1917680]
ENSMUSG00000039234,Sec24d,"Sec24 related gene family, member D (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1916858]"
ENSMUSG00000039236,Isg20,interferon-stimulated protein [Source:MGI Symbol;Acc:MGI:1928895]
ENSMUSG00000039238,Zfp750,zinc finger protein 750 [Source:MGI Symbol;Acc:MGI:2442210]
ENSMUSG00000039239,Tgfb2,"transforming growth factor, beta 2 [Source:MGI Symbol;Acc:MGI:98726]"
ENSMUSG00000039242,B3galnt2,"UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 2 [Source:MGI Symbol;Acc:MGI:2145517]"
ENSMUSG00000039244,E130309D02Rik,RIKEN cDNA E130309D02 gene [Source:MGI Symbol;Acc:MGI:2442621]
ENSMUSG00000039246,Lyplal1,lysophospholipase-like 1 [Source:MGI Symbol;Acc:MGI:2385115]
ENSMUSG00000039252,Lgi2,"leucine-rich repeat LGI family, member 2 [Source:MGI Symbol;Acc:MGI:2180196]"
ENSMUSG00000039253,Fn3krp,fructosamine 3 kinase related protein [Source:MGI Symbol;Acc:MGI:2679256]
ENSMUSG00000039254,Pomt1,protein-O-mannosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2138994]
ENSMUSG00000039257,Vstm2b,V-set and transmembrane domain containing 2B [Source:MGI Symbol;Acc:MGI:1914525]
ENSMUSG00000039262,Prrc2b,proline-rich coiled-coil 2B [Source:MGI Symbol;Acc:MGI:1923304]
ENSMUSG00000039263,Npepl1,aminopeptidase-like 1 [Source:MGI Symbol;Acc:MGI:2448523]
ENSMUSG00000039264,Gimap3,"GTPase, IMAP family member 3 [Source:MGI Symbol;Acc:MGI:1932723]"
ENSMUSG00000039269,2300002M23Rik,RIKEN cDNA 2300002M23 gene [Source:MGI Symbol;Acc:MGI:1916792]
ENSMUSG00000039270,Megf9,multiple EGF-like-domains 9 [Source:MGI Symbol;Acc:MGI:1918264]
ENSMUSG00000039275,Foxk2,forkhead box K2 [Source:MGI Symbol;Acc:MGI:1916087]
ENSMUSG00000039278,Pcsk1n,proprotein convertase subtilisin/kexin type 1 inhibitor [Source:MGI Symbol;Acc:MGI:1353431]
ENSMUSG00000039285,Azi2,5-azacytidine induced gene 2 [Source:MGI Symbol;Acc:MGI:1351332]
ENSMUSG00000039286,Fndc3b,fibronectin type III domain containing 3B [Source:MGI Symbol;Acc:MGI:1919257]
ENSMUSG00000039294,Cybc1,cytochrome b 245 chaperone 1 [Source:MGI Symbol;Acc:MGI:2384959]
ENSMUSG00000039298,Cdk5rap2,CDK5 regulatory subunit associated protein 2 [Source:MGI Symbol;Acc:MGI:2384875]
ENSMUSG00000039304,Tnfsf10,"tumor necrosis factor (ligand) superfamily, member 10 [Source:MGI Symbol;Acc:MGI:107414]"
ENSMUSG00000039307,Hexdc,"hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing [Source:MGI Symbol;Acc:MGI:3605542]"
ENSMUSG00000039308,Ndst2,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2 [Source:MGI Symbol;Acc:MGI:97040]
ENSMUSG00000039313,Minar1,membrane integral NOTCH2 associated receptor 1 [Source:MGI Symbol;Acc:MGI:2667167]
ENSMUSG00000039315,Clnk,cytokine-dependent hematopoietic cell linker [Source:MGI Symbol;Acc:MGI:1351468]
ENSMUSG00000039316,Rftn1,raftlin lipid raft linker 1 [Source:MGI Symbol;Acc:MGI:1923688]
ENSMUSG00000039318,Rab3gap2,RAB3 GTPase activating protein subunit 2 [Source:MGI Symbol;Acc:MGI:1916043]
ENSMUSG00000039321,Uts2r,urotensin 2 receptor [Source:MGI Symbol;Acc:MGI:2183450]
ENSMUSG00000039323,Igfbp2,insulin-like growth factor binding protein 2 [Source:MGI Symbol;Acc:MGI:96437]
ENSMUSG00000039328,Rnf122,ring finger protein 122 [Source:MGI Symbol;Acc:MGI:1916117]
ENSMUSG00000039329,Tex19.1,testis expressed gene 19.1 [Source:MGI Symbol;Acc:MGI:1920929]
ENSMUSG00000039330,Tsga10ip,testis specific 10 interacting protein [Source:MGI Symbol;Acc:MGI:1925556]
ENSMUSG00000039335,Spata16,spermatogenesis associated 16 [Source:MGI Symbol;Acc:MGI:1918112]
ENSMUSG00000039339,Mfsd4b2,major facilitator superfamily domain containing 4B2 [Source:MGI Symbol;Acc:MGI:1919295]
ENSMUSG00000039342,Ankar,ankyrin and armadillo repeat containing [Source:MGI Symbol;Acc:MGI:2442559]
ENSMUSG00000039345,Mettl22,methyltransferase like 22 [Source:MGI Symbol;Acc:MGI:2384301]
ENSMUSG00000039347,Atp6v0e2,"ATPase, H+ transporting, lysosomal V0 subunit E2 [Source:MGI Symbol;Acc:MGI:1923502]"
ENSMUSG00000039349,C130074G19Rik,RIKEN cDNA C130074G19 gene [Source:MGI Symbol;Acc:MGI:2444831]
ENSMUSG00000039354,Smarcal1,"SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1 [Source:MGI Symbol;Acc:MGI:1859183]"
ENSMUSG00000039356,Exosc2,exosome component 2 [Source:MGI Symbol;Acc:MGI:2385133]
ENSMUSG00000039357,Fut11,fucosyltransferase 11 [Source:MGI Symbol;Acc:MGI:1920318]
ENSMUSG00000039358,Drd5,dopamine receptor D5 [Source:MGI Symbol;Acc:MGI:94927]
ENSMUSG00000039361,Picalm,phosphatidylinositol binding clathrin assembly protein [Source:MGI Symbol;Acc:MGI:2385902]
ENSMUSG00000039364,Sectm1b,secreted and transmembrane 1B [Source:MGI Symbol;Acc:MGI:1929083]
ENSMUSG00000039367,Sec24c,"Sec24 related gene family, member C (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1919746]"
ENSMUSG00000039372,Marchf4,membrane associated ring-CH-type finger 4 [Source:MGI Symbol;Acc:MGI:2683550]
ENSMUSG00000039375,Wdr17,WD repeat domain 17 [Source:MGI Symbol;Acc:MGI:1924662]
ENSMUSG00000039376,Synpo2l,synaptopodin 2-like [Source:MGI Symbol;Acc:MGI:1916010]
ENSMUSG00000039377,Hlx,H2.0-like homeobox [Source:MGI Symbol;Acc:MGI:96109]
ENSMUSG00000039382,Wdr45,WD repeat domain 45 [Source:MGI Symbol;Acc:MGI:1859606]
ENSMUSG00000039384,Dusp10,dual specificity phosphatase 10 [Source:MGI Symbol;Acc:MGI:1927070]
ENSMUSG00000039385,Cdh6,cadherin 6 [Source:MGI Symbol;Acc:MGI:107435]
ENSMUSG00000039391,Ccdc81,coiled-coil domain containing 81 [Source:MGI Symbol;Acc:MGI:1918134]
ENSMUSG00000039395,Mreg,melanoregulin [Source:MGI Symbol;Acc:MGI:2151839]
ENSMUSG00000039396,Neil3,nei like 3 (E. coli) [Source:MGI Symbol;Acc:MGI:2384588]
ENSMUSG00000039405,Prss23,"protease, serine 23 [Source:MGI Symbol;Acc:MGI:1923703]"
ENSMUSG00000039410,Prdm16,PR domain containing 16 [Source:MGI Symbol;Acc:MGI:1917923]
ENSMUSG00000039414,Heatr5b,HEAT repeat containing 5B [Source:MGI Symbol;Acc:MGI:2444098]
ENSMUSG00000039419,Cntnap2,contactin associated protein-like 2 [Source:MGI Symbol;Acc:MGI:1914047]
ENSMUSG00000039427,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase) [Source:MGI Symbol;Acc:MGI:2384774]"
ENSMUSG00000039428,Tmem135,transmembrane protein 135 [Source:MGI Symbol;Acc:MGI:1920009]
ENSMUSG00000039431,Mtmr7,myotubularin related protein 7 [Source:MGI Symbol;Acc:MGI:1891693]
ENSMUSG00000039438,Ttc36,tetratricopeptide repeat domain 36 [Source:MGI Symbol;Acc:MGI:2384760]
ENSMUSG00000039449,Prpf18,pre-mRNA processing factor 18 [Source:MGI Symbol;Acc:MGI:1914479]
ENSMUSG00000039450,Dcxr,dicarbonyl L-xylulose reductase [Source:MGI Symbol;Acc:MGI:1915130]
ENSMUSG00000039452,Snx22,sorting nexin 22 [Source:MGI Symbol;Acc:MGI:2685966]
ENSMUSG00000039456,Morc3,microrchidia 3 [Source:MGI Symbol;Acc:MGI:2136841]
ENSMUSG00000039457,Ppl,periplakin [Source:MGI Symbol;Acc:MGI:1194898]
ENSMUSG00000039458,Mtmr12,myotubularin related protein 12 [Source:MGI Symbol;Acc:MGI:2443034]
ENSMUSG00000039461,Tcta,T cell leukemia translocation altered gene [Source:MGI Symbol;Acc:MGI:1918829]
ENSMUSG00000039462,Col10a1,"collagen, type X, alpha 1 [Source:MGI Symbol;Acc:MGI:88445]"
ENSMUSG00000039463,Slc9a8,"solute carrier family 9 (sodium/hydrogen exchanger), member 8 [Source:MGI Symbol;Acc:MGI:1924281]"
ENSMUSG00000039470,Zdhhc2,"zinc finger, DHHC domain containing 2 [Source:MGI Symbol;Acc:MGI:1923452]"
ENSMUSG00000039473,Ubn1,ubinuclein 1 [Source:MGI Symbol;Acc:MGI:1891307]
ENSMUSG00000039474,Wfs1,wolframin ER transmembrane glycoprotein [Source:MGI Symbol;Acc:MGI:1328355]
ENSMUSG00000039476,Prrx2,paired related homeobox 2 [Source:MGI Symbol;Acc:MGI:98218]
ENSMUSG00000039477,Tnrc18,trinucleotide repeat containing 18 [Source:MGI Symbol;Acc:MGI:3648294]
ENSMUSG00000039478,Micu3,"mitochondrial calcium uptake family, member 3 [Source:MGI Symbol;Acc:MGI:1925756]"
ENSMUSG00000039480,Nt5dc1,5'-nucleotidase domain containing 1 [Source:MGI Symbol;Acc:MGI:2442446]
ENSMUSG00000039481,Nrtn,neurturin [Source:MGI Symbol;Acc:MGI:108417]
ENSMUSG00000039483,Asb6,ankyrin repeat and SOCS box-containing 6 [Source:MGI Symbol;Acc:MGI:1919573]
ENSMUSG00000039485,Tspyl4,TSPY-like 4 [Source:MGI Symbol;Acc:MGI:106393]
ENSMUSG00000039488,Cntn5,contactin 5 [Source:MGI Symbol;Acc:MGI:3042287]
ENSMUSG00000039492,Ccdc27,coiled-coil domain containing 27 [Source:MGI Symbol;Acc:MGI:2685881]
ENSMUSG00000039496,Cdnf,cerebral dopamine neurotrophic factor [Source:MGI Symbol;Acc:MGI:3606576]
ENSMUSG00000039497,Dse,dermatan sulfate epimerase [Source:MGI Symbol;Acc:MGI:2443455]
ENSMUSG00000039501,Znfx1,"zinc finger, NFX1-type containing 1 [Source:MGI Symbol;Acc:MGI:2138982]"
ENSMUSG00000039508,Calhm4,calcium homeostasis modulator family member 4 [Source:MGI Symbol;Acc:MGI:2685489]
ENSMUSG00000039509,Nup133,nucleoporin 133 [Source:MGI Symbol;Acc:MGI:2442620]
ENSMUSG00000039512,Uhrf1bp1,UHRF1 (ICBP90) binding protein 1 [Source:MGI Symbol;Acc:MGI:3041238]
ENSMUSG00000039515,Ptpa,protein phosphatase 2 protein activator [Source:MGI Symbol;Acc:MGI:1346006]
ENSMUSG00000039518,Cdsn,corneodesmosin [Source:MGI Symbol;Acc:MGI:3505689]
ENSMUSG00000039519,Cyp7b1,"cytochrome P450, family 7, subfamily b, polypeptide 1 [Source:MGI Symbol;Acc:MGI:104978]"
ENSMUSG00000039521,Foxp3,forkhead box P3 [Source:MGI Symbol;Acc:MGI:1891436]
ENSMUSG00000039523,Cep104,centrosomal protein 104 [Source:MGI Symbol;Acc:MGI:2687282]
ENSMUSG00000039529,Atp8b1,"ATPase, class I, type 8B, member 1 [Source:MGI Symbol;Acc:MGI:1859665]"
ENSMUSG00000039531,Zup1,zinc finger containing ubiquitin peptidase 1 [Source:MGI Symbol;Acc:MGI:1919830]
ENSMUSG00000039533,Mmd2,monocyte to macrophage differentiation-associated 2 [Source:MGI Symbol;Acc:MGI:1922354]
ENSMUSG00000039536,Stau1,staufen double-stranded RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1338864]
ENSMUSG00000039539,Sgcz,sarcoglycan zeta [Source:MGI Symbol;Acc:MGI:2388820]
ENSMUSG00000039542,Ncam1,neural cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:97281]
ENSMUSG00000039543,Cfap70,cilia and flagella associated protein 70 [Source:MGI Symbol;Acc:MGI:1923920]
ENSMUSG00000039545,Flicr,Foxp3 regulating long intergenic noncoding RNA [Source:MGI Symbol;Acc:MGI:1925435]
ENSMUSG00000039546,Ajap1,adherens junction associated protein 1 [Source:MGI Symbol;Acc:MGI:2685419]
ENSMUSG00000039552,Rsph4a,radial spoke head 4 homolog A (Chlamydomonas) [Source:MGI Symbol;Acc:MGI:3027894]
ENSMUSG00000039555,Cylc2,"cylicin, basic protein of sperm head cytoskeleton 2 [Source:MGI Symbol;Acc:MGI:1922164]"
ENSMUSG00000039556,Ppp1r3f,"protein phosphatase 1, regulatory subunit 3F [Source:MGI Symbol;Acc:MGI:1859617]"
ENSMUSG00000039563,2210406O10Rik,RIKEN cDNA 2210406O10 gene [Source:MGI Symbol;Acc:MGI:1923960]
ENSMUSG00000039568,Ubald1,UBA-like domain containing 1 [Source:MGI Symbol;Acc:MGI:1916255]
ENSMUSG00000039577,Nphp4,nephronophthisis 4 (juvenile) homolog (human) [Source:MGI Symbol;Acc:MGI:2384210]
ENSMUSG00000039578,Ccser1,coiled-coil serine rich 1 [Source:MGI Symbol;Acc:MGI:3045354]
ENSMUSG00000039579,Grin3a,"glutamate receptor ionotropic, NMDA3A [Source:MGI Symbol;Acc:MGI:1933206]"
ENSMUSG00000039585,Myo9a,myosin IXa [Source:MGI Symbol;Acc:MGI:107735]
ENSMUSG00000039599,Fam149b,"family with sequence similarity 149, member B [Source:MGI Symbol;Acc:MGI:2145567]"
ENSMUSG00000039601,Rcan2,regulator of calcineurin 2 [Source:MGI Symbol;Acc:MGI:1858219]
ENSMUSG00000039607,Rbms3,"RNA binding motif, single stranded interacting protein [Source:MGI Symbol;Acc:MGI:2444477]"
ENSMUSG00000039611,Pgap4,post-GPI attachment to proteins GalNAc transferase 4 [Source:MGI Symbol;Acc:MGI:1914313]
ENSMUSG00000039615,Stub1,STIP1 homology and U-Box containing protein 1 [Source:MGI Symbol;Acc:MGI:1891731]
ENSMUSG00000039616,Mocos,molybdenum cofactor sulfurase [Source:MGI Symbol;Acc:MGI:1915841]
ENSMUSG00000039620,Trmt9b,tRNA methyltransferase 9B [Source:MGI Symbol;Acc:MGI:2442328]
ENSMUSG00000039621,Prex1,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1 [Source:MGI Symbol;Acc:MGI:3040696]"
ENSMUSG00000039623,Ap5z1,"adaptor-related protein complex 5, zeta 1 subunit [Source:MGI Symbol;Acc:MGI:1924908]"
ENSMUSG00000039628,Hs3st6,heparan sulfate (glucosamine) 3-O-sulfotransferase 6 [Source:MGI Symbol;Acc:MGI:3580487]
ENSMUSG00000039629,Strip2,striatin interacting protein 2 [Source:MGI Symbol;Acc:MGI:2444363]
ENSMUSG00000039630,Hnrnpu,heterogeneous nuclear ribonucleoprotein U [Source:MGI Symbol;Acc:MGI:1858195]
ENSMUSG00000039632,Odad3,outer dynein arm docking complex subunit 3 [Source:MGI Symbol;Acc:MGI:1924859]
ENSMUSG00000039633,Lonrf1,LON peptidase N-terminal domain and ring finger 1 [Source:MGI Symbol;Acc:MGI:3609241]
ENSMUSG00000039634,Zfp189,zinc finger protein 189 [Source:MGI Symbol;Acc:MGI:2444707]
ENSMUSG00000039637,Coro7,coronin 7 [Source:MGI Symbol;Acc:MGI:1926135]
ENSMUSG00000039639,Kcne1,"potassium voltage-gated channel, Isk-related subfamily, member 1 [Source:MGI Symbol;Acc:MGI:96673]"
ENSMUSG00000039640,Mrpl12,mitochondrial ribosomal protein L12 [Source:MGI Symbol;Acc:MGI:1926273]
ENSMUSG00000039646,Vasn,vasorin [Source:MGI Symbol;Acc:MGI:2177651]
ENSMUSG00000039648,Kyat1,kynurenine aminotransferase 1 [Source:MGI Symbol;Acc:MGI:1917516]
ENSMUSG00000039652,Cpeb3,cytoplasmic polyadenylation element binding protein 3 [Source:MGI Symbol;Acc:MGI:2443075]
ENSMUSG00000039653,Baat,bile acid-Coenzyme A: amino acid N-acyltransferase [Source:MGI Symbol;Acc:MGI:106642]
ENSMUSG00000039656,Rxrb,retinoid X receptor beta [Source:MGI Symbol;Acc:MGI:98215]
ENSMUSG00000039660,Spout1,SPOUT domain containing methyltransferase 1 [Source:MGI Symbol;Acc:MGI:106544]
ENSMUSG00000039661,Dusp26,dual specificity phosphatase 26 (putative) [Source:MGI Symbol;Acc:MGI:1914209]
ENSMUSG00000039662,Icmt,isoprenylcysteine carboxyl methyltransferase [Source:MGI Symbol;Acc:MGI:1888594]
ENSMUSG00000039670,Oxld1,oxidoreductase like domain containing 1 [Source:MGI Symbol;Acc:MGI:1913681]
ENSMUSG00000039671,Zmynd8,"zinc finger, MYND-type containing 8 [Source:MGI Symbol;Acc:MGI:1918025]"
ENSMUSG00000039672,Kcne2,"potassium voltage-gated channel, Isk-related subfamily, gene 2 [Source:MGI Symbol;Acc:MGI:1891123]"
ENSMUSG00000039676,Capsl,calcyphosine-like [Source:MGI Symbol;Acc:MGI:1922818]
ENSMUSG00000039678,Tbc1d13,"TBC1 domain family, member 13 [Source:MGI Symbol;Acc:MGI:2385326]"
ENSMUSG00000039680,Mrps6,mitochondrial ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:2153111]
ENSMUSG00000039682,Lap3,leucine aminopeptidase 3 [Source:MGI Symbol;Acc:MGI:1914238]
ENSMUSG00000039683,Sdk1,sidekick cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:2444413]
ENSMUSG00000039684,Gm5422,predicted pseudogene 5422 [Source:MGI Symbol;Acc:MGI:3643411]
ENSMUSG00000039686,Zer1,"zyg-11 related, cell cycle regulator [Source:MGI Symbol;Acc:MGI:2442511]"
ENSMUSG00000039691,Tspan10,tetraspanin 10 [Source:MGI Symbol;Acc:MGI:2384781]
ENSMUSG00000039693,Msantd3,Myb/SANT-like DNA-binding domain containing 3 [Source:MGI Symbol;Acc:MGI:1913915]
ENSMUSG00000039697,Ncoa7,nuclear receptor coactivator 7 [Source:MGI Symbol;Acc:MGI:2444847]
ENSMUSG00000039699,Batf2,"basic leucine zipper transcription factor, ATF-like 2 [Source:MGI Symbol;Acc:MGI:1921731]"
ENSMUSG00000039701,Usp53,ubiquitin specific peptidase 53 [Source:MGI Symbol;Acc:MGI:2139607]
ENSMUSG00000039703,Nploc4,"NPL4 homolog, ubiquitin recognition factor [Source:MGI Symbol;Acc:MGI:2679787]"
ENSMUSG00000039704,Lmbrd2,LMBR1 domain containing 2 [Source:MGI Symbol;Acc:MGI:2444173]
ENSMUSG00000039706,Ldb2,LIM domain binding 2 [Source:MGI Symbol;Acc:MGI:894670]
ENSMUSG00000039710,Slc7a12,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 12 [Source:MGI Symbol;Acc:MGI:2156159]"
ENSMUSG00000039713,Plekhg5,"pleckstrin homology domain containing, family G (with RhoGef domain) member 5 [Source:MGI Symbol;Acc:MGI:2652860]"
ENSMUSG00000039714,Cplx3,complexin 3 [Source:MGI Symbol;Acc:MGI:2384571]
ENSMUSG00000039715,Dync2i2,dynein 2 intermediate chain 2 [Source:MGI Symbol;Acc:MGI:1919070]
ENSMUSG00000039716,Dock3,dedicator of cyto-kinesis 3 [Source:MGI Symbol;Acc:MGI:2429763]
ENSMUSG00000039717,Ralyl,RALY RNA binding protein-like [Source:MGI Symbol;Acc:MGI:1924147]
ENSMUSG00000039720,Got1l1,glutamic-oxaloacetic transaminase 1-like 1 [Source:MGI Symbol;Acc:MGI:1923865]
ENSMUSG00000039725,Trp53rka,transformation related protein 53 regulating kinase A [Source:MGI Symbol;Acc:MGI:1918294]
ENSMUSG00000039728,Slc6a5,"solute carrier family 6 (neurotransmitter transporter, glycine), member 5 [Source:MGI Symbol;Acc:MGI:105090]"
ENSMUSG00000039735,Fnbp1l,formin binding protein 1-like [Source:MGI Symbol;Acc:MGI:1925642]
ENSMUSG00000039737,Prkrip1,Prkr interacting protein 1 (IL11 inducible) [Source:MGI Symbol;Acc:MGI:1914051]
ENSMUSG00000039738,Slx4,SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:106299]
ENSMUSG00000039740,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase) [Source:MGI Symbol;Acc:MGI:1914731]"
ENSMUSG00000039741,Bahcc1,BAH domain and coiled-coil containing 1 [Source:MGI Symbol;Acc:MGI:2679272]
ENSMUSG00000039742,Fam71f1,"family with sequence similarity 71, member F1 [Source:MGI Symbol;Acc:MGI:3032524]"
ENSMUSG00000039745,Htatip2,HIV-1 Tat interactive protein 2 [Source:MGI Symbol;Acc:MGI:1859271]
ENSMUSG00000039747,Orai2,ORAI calcium release-activated calcium modulator 2 [Source:MGI Symbol;Acc:MGI:2443195]
ENSMUSG00000039748,Exo1,exonuclease 1 [Source:MGI Symbol;Acc:MGI:1349427]
ENSMUSG00000039753,Fbxl5,F-box and leucine-rich repeat protein 5 [Source:MGI Symbol;Acc:MGI:2152883]
ENSMUSG00000039754,Alkbh4,"alkB homolog 4, lysine demethylase [Source:MGI Symbol;Acc:MGI:1919291]"
ENSMUSG00000039756,Dnttip2,"deoxynucleotidyltransferase, terminal, interacting protein 2 [Source:MGI Symbol;Acc:MGI:1923173]"
ENSMUSG00000039759,Thap3,"THAP domain containing, apoptosis associated protein 3 [Source:MGI Symbol;Acc:MGI:1917126]"
ENSMUSG00000039760,Il22ra2,"interleukin 22 receptor, alpha 2 [Source:MGI Symbol;Acc:MGI:2665114]"
ENSMUSG00000039763,Dnajc28,DnaJ heat shock protein family (Hsp40) member C28 [Source:MGI Symbol;Acc:MGI:2181053]
ENSMUSG00000039765,Cc2d2a,coiled-coil and C2 domain containing 2A [Source:MGI Symbol;Acc:MGI:1924487]
ENSMUSG00000039768,Dnajc11,DnaJ heat shock protein family (Hsp40) member C11 [Source:MGI Symbol;Acc:MGI:2443386]
ENSMUSG00000039770,Ypel5,yippee like 5 [Source:MGI Symbol;Acc:MGI:1916937]
ENSMUSG00000039771,Polr2j,polymerase (RNA) II (DNA directed) polypeptide J [Source:MGI Symbol;Acc:MGI:109582]
ENSMUSG00000039774,Galnt12,polypeptide N-acetylgalactosaminyltransferase 12 [Source:MGI Symbol;Acc:MGI:2444664]
ENSMUSG00000039781,Cep131,centrosomal protein 131 [Source:MGI Symbol;Acc:MGI:107440]
ENSMUSG00000039782,Cpeb2,cytoplasmic polyadenylation element binding protein 2 [Source:MGI Symbol;Acc:MGI:2442640]
ENSMUSG00000039783,Kmo,kynurenine 3-monooxygenase (kynurenine 3-hydroxylase) [Source:MGI Symbol;Acc:MGI:2138151]
ENSMUSG00000039787,Cercam,cerebral endothelial cell adhesion molecule [Source:MGI Symbol;Acc:MGI:2139134]
ENSMUSG00000039789,Zfp597,zinc finger protein 597 [Source:MGI Symbol;Acc:MGI:1918313]
ENSMUSG00000039795,Zfand1,"zinc finger, AN1-type domain 1 [Source:MGI Symbol;Acc:MGI:1913611]"
ENSMUSG00000039798,2600006K01Rik,RIKEN cDNA 2600006K01 gene [Source:MGI Symbol;Acc:MGI:1917569]
ENSMUSG00000039801,Cplane1,ciliogenesis and planar polarity effector 1 [Source:MGI Symbol;Acc:MGI:1920942]
ENSMUSG00000039804,Ncoa5,nuclear receptor coactivator 5 [Source:MGI Symbol;Acc:MGI:2385165]
ENSMUSG00000039809,Gabbr2,"gamma-aminobutyric acid (GABA) B receptor, 2 [Source:MGI Symbol;Acc:MGI:2386030]"
ENSMUSG00000039810,Zc3h10,zinc finger CCCH type containing 10 [Source:MGI Symbol;Acc:MGI:2143670]
ENSMUSG00000039813,Tbc1d2,"TBC1 domain family, member 2 [Source:MGI Symbol;Acc:MGI:2652885]"
ENSMUSG00000039814,Xkr5,X-linked Kx blood group related 5 [Source:MGI Symbol;Acc:MGI:2442327]
ENSMUSG00000039824,Myl6b,"myosin, light polypeptide 6B [Source:MGI Symbol;Acc:MGI:1917789]"
ENSMUSG00000039826,Trub2,TruB pseudouridine (psi) synthase family member 2 [Source:MGI Symbol;Acc:MGI:2442186]
ENSMUSG00000039828,Wdr70,WD repeat domain 70 [Source:MGI Symbol;Acc:MGI:1921020]
ENSMUSG00000039830,Olig2,oligodendrocyte transcription factor 2 [Source:MGI Symbol;Acc:MGI:1355331]
ENSMUSG00000039831,Arhgap29,Rho GTPase activating protein 29 [Source:MGI Symbol;Acc:MGI:2443818]
ENSMUSG00000039834,Zfp335,zinc finger protein 335 [Source:MGI Symbol;Acc:MGI:2682313]
ENSMUSG00000039835,Nhsl1,NHS-like 1 [Source:MGI Symbol;Acc:MGI:106390]
ENSMUSG00000039838,Slc45a1,"solute carrier family 45, member 1 [Source:MGI Symbol;Acc:MGI:2653235]"
ENSMUSG00000039840,Epg5,ectopic P-granules autophagy protein 5 homolog (C. elegans) [Source:MGI Symbol;Acc:MGI:1918673]
